127.0.0.1 - - [03/Mar/2018:13:48:00 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:48:01 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:48:08 -0500] "POST /invoice-crud-operation/un.do HTTP/1.1" 500 1684
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:48:16 -0500] "GET /allInvoiceList.jsp HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:07 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:08 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:09 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:09 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:09 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:12 -0500] "GET /allInvoiceList.jsp HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:15 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:16 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:16 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:16 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:16 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:17 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:17 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:17 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:51:20 -0500] "GET /allInvoiceList.jsp HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:53:08 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:53:10 -0500] "GET /result.jsp HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:54:02 -0500] "POST /invoice-crud-operation/un.do HTTP/1.1" 500 3262
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:56:58 -0500] "POST /invoice-crud-operation/un.do HTTP/1.1" 500 3262
0:0:0:0:0:0:0:1 - - [03/Mar/2018:13:58:25 -0500] "GET /result.jsp HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:00:29 -0500] "POST /invoice-crud-operation/un.do HTTP/1.1" 500 838
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:00:32 -0500] "GET /invoice-crud-operation/add-student-form.jsp HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:00:35 -0500] "POST /invoice-crud-operation/un.do HTTP/1.1" 500 838
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:01:19 -0500] "POST /invoice-crud-operation/un.do HTTP/1.1" 500 2592
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:01:19 -0500] "POST /invoice-crud-operation/un.do HTTP/1.1" 500 2592
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:01:38 -0500] "GET /result.jsp HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:02:25 -0500] "GET /result.jsp HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:02:28 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:02:32 -0500] "POST /invoice-crud-operation/un.do HTTP/1.1" 500 1684
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:02:45 -0500] "POST /invoice-crud-operation/show.do HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [03/Mar/2018:14:03:36 -0500] "POST /invoice-crud-operation/show.do HTTP/1.1" 404 1108
